##	sampleID	platform	readLenPE	refSample	refSpikeIn	propSpikeIn	chimericName	refDirA1	refDirA2	fastq1Path	fastq2Path	outPath	suffChrSample	suffChrSpikein	bamAlignAR1	bamAlignAR2	bamA1	bamA2	tabNChrom	nFastq	nAlignAR1	nAlignAR1Sample	nAlignAR1Spikein	pUMapAR1	pManyAR1	pMissAR1	pShortAR1	pOtherAR1	nAlignAR2	nAlignAR2Sample	nAlignAR2Spikein	pUMapAR2	pManyAR2	pMissAR2	pShortAR2	pOtherAR2	nA1	nA2	nNoA	nA1Sample	nA2Sample	nA1Spikein	nA2Spikein
13	LOVSON_H1W1_5A	Illumina	150	Human	Roundworm	0.15	NA12878_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A5_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A5_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	LOVSON_H1W1_5B	Illumina	150	Human	Roundworm	0.15	NA12878_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B5_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B5_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	LOVSON_H1W1_5C	Illumina	150	Human	Roundworm	0.15	NA12878_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/NA12878_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C5_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C5_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	LOVSON_M1W1_6A	Illumina	150	Mouse	Roundworm	0.5	129S1xCAST_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A6_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A6_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	LOVSON_M1W1_6B	Illumina	150	Mouse	Roundworm	0.5	129S1xCAST_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B6_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B6_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18	LOVSON_M1W1_6C	Illumina	150	Mouse	Roundworm	0.5	129S1xCAST_N2xHawaii	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A1/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/references/current_indices//insilico_chimera/129S1xCAST_N2xHawaii/A2/star2.7.9a_overhang_149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C6_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C6_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	LOVSON_M1_7A	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A7_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A7_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	LOVSON_M1_7B	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B7_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B7_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21	LOVSON_M1_7C	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C7_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C7_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22	LOVSON_M2_8A	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A8_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A8_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
23	LOVSON_M2_8B	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B8_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B8_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
24	LOVSON_M2_8C	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C8_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C8_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
25	LOVSON_M3_9A	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A9_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A9_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
26	LOVSON_M3_9B	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B9_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B9_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
27	LOVSON_M3_9C	Illumina	150	Mouse	NA	0	129S1xCAST	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A1/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/mouse/129S1_CAST_chrM/129S1_CAST_chrM_A2/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C9_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C9_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	m	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
28	LOVSON_H1_10A	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A10_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A10_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
29	LOVSON_H1_10B	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B10_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B10_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
30	LOVSON_H1_10C	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C10_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C10_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
31	LOVSON_H2_11A	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A11_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A11_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
32	LOVSON_H2_11B	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B11_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B11_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
33	LOVSON_H2_11C	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C11_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C11_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
34	LOVSON_H3_12A	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A12_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/A12_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
35	LOVSON_H3_12B	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B12_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/B12_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
36	LOVSON_H3_12C	Illumina	150	Human	NA	0	NA12878	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_mat/star2.7.9a_overhang149	/home/amendelevich/spikein/references/current_indices/human/NA12878_chrH/NA12878_pat/star2.7.9a_overhang149	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C12_1.fq.gz	/net/seq/data/projects/spikein/bulk_SpikeIn_project_summer2022/LOVSON/fastq/C12_2.fq.gz	/home/amendelevich/spikein/bulk_SpikeIn_project_winter2023/LOVSON/	h	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
